EB2793 L 5.5 0.0 5.5 45.0 GND
EB2782 L 5.5 0.0 7.3 48.5 GND
EB2647 L 5.5 0.0 8.5 9.0 BRK
EB2647 L 5.5 0.0 8.6 45.5 GND
EB2615 L 5.5 0.0 8.5 45.5 GND
EB2591 L 5.5 0.0 10.3 47.0 GND
EB2591 L 5.5 0.0 9.7 17.0 BRK
EB3579 L 5.5 0.0 8.2 16.0 BRK
EB3579 L 5.5 0.0 8.9 47.0 GND
EB2536 L 5.5 0.0 6.9 15.5 BRK
EB2536 L 5.5 0.0 6.8 47.0 GND
EB2524 L 5.5 0.0 7.4 13.0 BRK
EB2524 L 5.5 0.0 7.8 21.5 DTH
EB2524 L 5.5 0.0 6.5 27.5 BRK
EB2524 L 5.5 0.0 6.2 47.0 GND
EB2502 L 5.5 0.0 5.8 17.0 GND
EB2502 L 5.5 0.0 5.6 45.0 GND
EB2493 L 5.5 0.0 5.0 18.0 BRK
EB2493 L 5.5 0.0 4.0 46.0 GND
EB2476 L 5.5 0.0 3.5 45.5 GND
EB3171 L 5.5 0.0 7.0 46.0 GND
EB3099 L 5.5 0.0 6.0 17.0 BRK
EB3099 L 5.5 0.0 6.1 45.0 GND
EB3090 L 5.5 0.0 5.7 20.0 BRK
EB3090 L 5.5 0.0 5.5 47.0 GND
EB3028 L 5.5 0.0 3.3 18.0 BRK
EB3028 L 5.5 0.0 2.0 45.0 GND
EB3019 L 5.5 0.0 3.9 20.0 BRK
EB3019 L 5.5 0.0 3.4 47.0 GND
EB3008 L 5.5 0.0 3.7 20.5 BRK
EB3008 L 5.5 0.0 3.8 41.0 GND
EB2963 L 5.5 0.0 5.1 20.0 BRK
EB2963 L 5.5 0.0 5.4 47.0 GND
EB2945 L 5.5 0.0 7.0 19.5 BRK
EB2945 L 5.5 0.0 9.0 48.5 GND
EB2939 L 5.5 0.0 8.2 15.0 BRK
EB2939 L 5.5 0.0 9.0 46.0 GND
EB2926 L 5.5 0.0 9.0 14.0 BRK
EB2926 L 5.5 0.0 10.4 40.0 GND
EB3254 L 5.5 0.0 9.5 15.0 BRK
EB3254 L 5.5 0.0 10.5 44.0 GND
EB3269 L 5.5 0.0 7.6 18.5 BRK
EB3269 L 5.5 0.0 7.8 44.5 GND
EB3274 L 5.5 0.0 8.3 11.5 DTH
EB3274 L 5.5 0.0 6.3 21.0 TOP
EB3274 L 5.5 0.0 7.0 48.5 GND
EB3274 R 5.5 0.0 4.6 88.0 GND
EB3292 L 5.5 0.0 8.3 12.5 DTH
EB3292 L 5.5 0.0 6.6 21.5 TOP
EB3293 L 5.5 0.0 7.5 45.0 GND
EB3298 L 5.5 0.0 8.5 15.0 DTH
EB3298 L 5.5 0.0 9.2 47.0 GND
EB3407 L 5.5 0.0 8.4 18.0 BRK
EB3407 L 5.5 0.0 9.4 46.0 GND
EB3413 L 5.5 0.0 8.2 13.0 DTH
EB3413 L 5.5 0.0 7.6 18.0 BRK
EB3413 L 5.5 0.0 8.1 42.0 GND
EB3419 L 5.5 0.0 7.0 19.5 BRK
EB3419 L 5.5 0.0 6.8 43.5 GND
EB3438 L 5.5 0.0 6.1 18.0 BRK
EB3438 L 5.5 0.0 6.8 46.5 GND
EB3446 L 5.5 0.0 6.4 20.0 BRK
EB3446 L 5.5 0.0 7.6 47.0 GND
EB3467 L 5.5 0.0 8.0 18.5 BRK
EB3467 L 5.5 0.0 8.0 48.0 GND
EB3487 L 5.5 0.0 6.9 17.0 BRK
EB3487 L 5.5 0.0 7.1 47.0 GND
EB3492 L 5.5 0.0 6.5 19.5 BRK
EB3492 L 5.5 0.0 7.2 47.0 GND
EB3492 L 5.5 0.0 7.5 12.5 DTH
EB3512 L 5.5 0.0 7.2 13.0 DTH
EB3512 L 5.5 0.0 7.5 46.5 GND
EB3524 L 5.5 0.0 8.1 10.0 DTH
EB3524 L 5.5 0.0 7.1 20.5 BRK
EB3524 L 5.5 0.0 9.0 47.0 GND
EB3853 L 5.5 0.0 7.7 13.5 DTH
EB3853 L 5.5 0.0 7.8 46.0 GND
EB3561 L 5.5 0.0 7.5 14.5 DTH
EB3561 L 5.5 0.0 7.0 18.5 BRK
EB3561 L 5.5 0.0 7.6 46.5 GND
EB3579 L 5.5 0.0 6.7 18.5 BRK
EB3579 L 5.5 0.0 8.0 27.0 GND
EB3579 L 5.5 0.0 8.3 46.5 GND
EB3591 L 5.5 0.0 7.4 17.5 BRK
EB3591 L 5.5 0.0 7.6 46.0 GND
EB3612 L 5.5 0.0 6.8 15.0 BRK
EB3612 L 5.5 0.0 6.6 46.0 GND
EB3618 L 5.5 0.0 7.3 12.5 DTH
EB3618 L 5.5 0.0 5.8 24.0 TOP
EB3618 L 5.5 0.0 6.8 45.0 GND
EB3636 L 5.5 0.0 7.5 12.0 DTH
EB3636 L 5.5 0.0 7.0 15.0 TOP
